id_franq,franquicia
474,Vabank (Collection)
475,Jönsson Gang
476,Class Of 1999 Collection
477,Turkish Star Wars
478,My Girl Collection
479,Blue Collar Comedy Tour Collection
480,Tokyo Decadence Series
481,Le Gendarme De St. Tropez Collection
482,The Brd Collection
483,They Call Me Bruce Collection
484,Zapped Collection
485,The Jungle Book Collection
486,Dennis The Menace Collection
487,The Black Stallion Collection
488,Willard
489,Born Free Trilogy
490,Ringu Collection
491,I Am Curious Collection
492,The Flicka Collection
493,Aki Kaurismäki'S Finland Trilogy
494,House Of 1000 Corpses Collection
495,Daddy Day Camp Collection
496,Breakin' Collection
497,The Klapisch Trilogy
498,Almighty Collection
499,Finding Nemo Collection
500,Wrong Turn Collection
501,Nevada Smith Collection
502,28 Days/Weeks Later Collection
503,Pirates Of The Caribbean Collection
504,Bad Boys Collection
505,Johnny English Collection
506,Trilogie
507,Gator Collection
508,S.W.A.T. Collection
509,Agent Cody Banks Collection
510,Tremors Collection
511,Elements Trilogy
512,Sides Of The Bed
513,Once Upon A Time In China Collection
514,Underworld Collection
515,Yossi Collection
516,Dorm Daze Collection
517,Leningrad Cowboys Collection
518,Beethoven Collection
519,Ginger Snaps Collection
520,House Of The Dead Collection
521,Kill Bill Collection
522,Texas Chainsaw (Reboot) Collection
523,Brother Bear Collection
524,Sherlock Holmes (1939 Series)
525,Bad Santa Collection
526,Darkman Collection
527,Europa Trilogy
528,Wargames Collection
529,Kindergarten Cop Collection
530,Battle Royale Collection
531,Teen Wolf Collection
532,Leprechaun Collection (Original Series)
533,Cheaper By The Dozen Collection
534,Pumping Iron Collection
535,The Matt Helm Collection
536,The Butterfly Effect Collection
537,You Got Served Collection
538,The Lost Skeleton Collection
539,Blacula Collection
540,Dirty Dancing Collection
541,Usa: Land Of Opportunities Collection
542,Hellboy Collection
543,The Prince & Me Collection
544,Walking Tall Collection
545,Mean Girls Collection
546,Van Helsing Collection
547,100 Girls Collection
548,Babylon 5 Collection
549,The Delta Force Collection
550,Bang Rajan Collection
551,Sniper Collection
552,Lammbock Collection
553,The Legend Collection
554,Vampire Karnstein (Hammer Series)
555,The Cheerleaders - Collection
556,The Streetfighter Collection
557,The Gidget Collection
558,Silence Of God Trilogy By Ingmar Bergman
559,The Complete Monterey Pop Festival
560,Infernal Affairs Collection
561,Robot Jox Collection
562,Death Race Original Collection
563,Lew Harper Collection
564,In China They Eat Dogs Collection
565,Dead Or Alive Collection
566,Dr. Mabuse Collection
567,Lupin The Third Collection
568,Garfield Collection
569,Super Size Me Collection
570,The Human Condition
571,Taxi Collection
572,Lassie (Kinofilme)
573,Anchorman Collection
574,Cinderella Story Collection
575,Trylogia Sienkiewicza
576,Thunderbirds (Animation) Collection
577,Ptu Collection
578,Harold & Kumar Collection
579,Avp Collection
580,Without A Paddle Collection
581,The Mangler Collection
582,Witchboard Collection
583,The Grudge Collection
584,Saw Collection
585,The Incredibles Collection
586,National Treasure Collection
587,Spongebob Collection
588,That'S Entertainment Collection
589,The Invisible Man (Universal Series)
590,I Love A Mystery Movie Series
591,King Kong (1933 Series)
592,Topper Collection
593,Why We Fight
594,Cat People Collection
595,Ivan The Terrible Collection
596,The Orphic Trilogy
597,St. Trinian'S Collection
598,Samurai Collection
599,Asterix And Obelix (Animation) Collection
600,Gamera Films
601,Trinità  Collection
602,The Emigrants Collection
603,The Tall Blond Man Collection
604,Lone Wolf And Cub Collection
605,Nobody Collection
606,Emmanuelle Collection
607,Gone In 60 Seconds Trilogy
608,Mountain Family Robinson Collection
609,Dolemite Collection
610,Ирония Судьбы (Коллекция)
611,The Sister Street Fighter Collection
612,Vixens Collection
613,Trilogy Of Terror Collection
614,The Rutles Collection
615,French Fried Vacation
616,Barefoot Gen Collection
617,Star Wars: The Ewok Adventures Collection
618,"Silent Night, Deadly Night Collection"
619,Barbarian Queen Collection
620,Mr. Vampire Collection
621,Flodder Collection
622,The Frogtown Collection
623,Koker Trilogy
624,A Better Tomorrow Collection
625,Patlabor Collection
626,Begotten Collection
627,House Of Angels Collection
628,Lonesome Dove Collection
629,The Bride With White Hair Collection
630,The Philadelphia Experiment - Collezione
631,Trilogía De La Violencia De Michael Haneke
632,Naked Collection
633,Gonin Collection
634,Street Fighter Collection
635,Bikini Summer Collection
636,The Cremaster Cycle
