id_prod,productora
652,Orpheus Films
653,Evzen Kolar Productions
654,Favorite Films
655,Maurice McEndree Productions
656,Walter Reade Organization Inc.
657,Faces International Films
658,MDP Worldwide
659,Selima Films AVV
660,Noon Attack Pictures
661,Silver Screen Partners III
662,The Bubble Factory
663,American Films
664,JVC Entertainment
665,Pandora Filmproduktion
666,Newmarket Capital Group
667,12 Gauge Productions
668,Hachette Première
669,Centaur Pictures Inc.
670,Gaumont International
671,France 3 Cinema
672,Wood-Thomas Pictures
673,Atman Entertainment
674,Fred Berner Films
675,Koninck Studios
676,Image Forum
677,Ruddy Morgan Productions
678,PVM Entertainment
679,Po' Boy Productions
680,Price
681,Silvio Berlusconi Communications
682,Fonds Eurimages du Conseil de l'Europe
683,Urania Film
684,K.G Productions
685,Audifilm
686,Bibo Productions
687,Constant c Productions
688,Glem Production
689,PXP Productions
690,MTM Cineteve
691,Pro 7
692,Bandai Visual Company
693,Kodansha
694,Production I.G.
695,Renegade Films
696,Aardman Animations
697,Enterprise Productions
698,Roberts Pictures Inc.
699,Steelwork Films
700,Mediaworks
701,Hawk Films
702,the Canadian Council
703,The Canada Manitoba Cultural Industries Development Office (CIDO)
704,The Manitoba Arts Council
705,Anuline
706,Universal City Studios
707,Riofilme
708,Royal Film
709,Bavaria Film
710,B.A. Produktion
711,Perathon Film-und Fernsehproduktions
712,Village Roadshow Pictures
713,Available Light Productions
714,Great Oaks Entertainment
715,BBC Arena
716,Charles Matthau-Jerry Tokofsky-John Davis Productions
717,MACT Productions
718,Stefi 2
719,Lichtblick Film- und Fernsehproduktion (I)
720,Magnolia Mae Films
721,Intrinsica Films
722,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles
723,Sol'oeil Films
724,Lamy Films
725,Ministère des Affaires étrangères et du Développement International
726,Studio Kankourama
727,Cinegrit
728,Direction du Cinema Haute Volta
729,Cocinor
730,Les Films Marceau
731,Produzioni Europee Associati (PEA)
732,PEA
733,Independent Television Service
734,Cicada Films
735,Kentucky Educational Television
736,NEA
737,Sinkhole Productions Inc.
738,TMF Metro
739,Noel Gay Motion Picture Company
740,Film4
741,Recorded Picture Company (RPC)
742,Jeremy Thomas Productions
743,Fiction Films
744,Mandalay Entertainment
745,Motion Picture Corporation of America
746,GEA Cinematográfica
747,MK2 Production
748,First Run Features
749,Tangent Films International
750,Initial Productions
751,Cabin Fever Entertainment
752,Rio Dulce
753,Rastar Pictures
754,Nickelodeon Movies
755,Electric
756,TEAM Communications Group
757,Prairie Oyster Productions
758,Compagnie Eric Rohmer (CER)
759,Fuchs/Burg
760,Új Budapest Filmstudió
761,Vega Film
762,Producciones Tepeyac
763,Dismage
764,Rome Paris Films
765,Les Films du Losange
766,TLA Releasing
767,Cobra Film
768,The Kushner-Locke Company
769,Brian Grazer/Scott Rudin Productions
770,Red Mullet Productions
771,Chestnut Hill Productions
772,Chicago Pacific Entertainment
773,"Zanuck Company, The"
774,Haft Entertainment
775,Matchmaker Films
776,Lux Film
777,Champs-Élysées Productions
778,Zeta Entertainment
779,Lumière
780,Salon Films
781,Cofimage 6
782,Giai Phong Film Studio
783,Eleventh Street Production
784,Jon Kilik
785,Vertigo Productions
786,Shochiku Company
787,Alfran Productions
788,Olga-Film GmbH (München)
789,Golden Way Films Ltd.
790,Pope Productions
791,Toho Company
792,Australian Film Finance Corporation (AFFC)
793,Meridian Films
794,Sandcastle 5 Productions
795,Roger Birnbaum Productions
796,Albatros Produktion
797,Ixtlan Productions
